coord	gene_name	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
2328183	PA2116	1.98997493734336	843	790	789	-8	-9	0	53	797	-9
2328184	PA2116	1.99122807017544	844	791	790	-7	-8	1	53	797	-9
2328187	PA2116	1.99498746867168	847	794	793	-4	-5	4	53	797	-9
2400770	PA2179	1.12197686645636	303	116	115	-835	-836	-827	187	950	-9
2400775	PA2179	1.12723449001052	308	121	120	-830	-831	-822	187	950	-9
2450614	PA2228	1.87541254125413	1065	1061	1060	-151	-152	-622	4	1211	470
2450618	PA2228	1.87871287128713	1069	1065	1064	-147	-148	-618	4	1211	470
2450619	PA2228	1.87953795379538	1070	1066	1065	-146	-147	-617	4	1211	470
2623564	PA2372	1.49040139616056	291	281	280	-292	-293	-466	10	572	173
2655210	fpvA	1.00980392156863	75	24	23	-2424	-2425	-2506	51	2447	81
2655214	fpvA	1.01143790849673	79	28	27	-2420	-2421	-2502	51	2447	81
2655215	fpvA	1.01184640522876	80	29	28	-2419	-2420	-2501	51	2447	81
2682478	PA2402	1.6957928802589	10799	10750	10749	-4700	-4701	-4860	49	15449	159
2682479	PA2402	1.69585760517799	10800	10751	10750	-4699	-4700	-4859	49	15449	159
2682481	PA2402	1.69598705501618	10802	10753	10752	-4697	-4698	-4857	49	15449	159
2682483	PA2402	1.69611650485437	10804	10755	10754	-4695	-4696	-4855	49	15449	159
2702785	PA2419	1.91336270190896	670	622	621	-59	-60	-100	48	680	40
2766217	PA2462	1.25450130300877	4581	4297	4296	-12587	-12588	-12644	284	16883	56
2766218	PA2462	1.25456053067993	4582	4298	4297	-12586	-12587	-12643	284	16883	56
2766219	PA2462	1.2546197583511	4583	4299	4298	-12585	-12586	-12642	284	16883	56
2863937	PA2535	1.99799196787149	1053	994	993	-2	-3	-118	59	995	115
2869257	PA2540	1.97444633730835	1733	1716	1715	-45	-46	-90	17	1760	44
2869258	PA2540	1.97501419647927	1734	1717	1716	-44	-45	-89	17	1760	44
2869259	PA2540	1.9755820556502	1735	1718	1717	-43	-44	-88	17	1760	44
2886053	PA2553	1.58102434928631	706	692	691	-499	-500	-508	14	1190	8
2886057	PA2553	1.58438287153652	710	696	695	-495	-496	-504	14	1190	8
2888825	PA2555	1.88069544364508	1478	1469	1468	-199	-200	-288	9	1667	88
2926318	gacA	1.82325581395349	530	531	530	-114	-115	-285	-1	644	170
2926322	gacA	1.82945736434109	534	535	534	-110	-111	-281	-1	644	170
2926323	gacA	1.83100775193798	535	536	535	-109	-110	-280	-1	644	170
2926324	gacA	1.83255813953488	536	537	536	-108	-109	-279	-1	644	170
2931938	PA2590	1.42598870056497	1136	1131	1130	-1524	-1525	-1584	5	2654	59
2965551	icd	1.00477326968974	42	6	5	-1251	-1252	-1431	36	1256	179
2965995	icd	1.35799522673031	486	450	449	-807	-808	-987	36	1256	179
3001882	PA2653	1.00754147812971	66	10	9	-1316	-1317	-1446	56	1325	129
3022554	PA2676	1.63888888888889	785	759	758	-429	-430	-432	26	1187	2
3022556	PA2676	1.64057239057239	787	761	760	-427	-428	-430	26	1187	2
3022559	PA2676	1.64309764309764	790	764	763	-424	-425	-427	26	1187	2
3022560	PA2676	1.64393939393939	791	765	764	-423	-424	-426	26	1187	2
3022561	PA2676	1.64478114478114	792	766	765	-422	-423	-425	26	1187	2
3022562	PA2676	1.6456228956229	793	767	766	-421	-422	-424	26	1187	2
3035910	vgrG4	1.07290233837689	183	159	158	-2022	-2023	-1999	24	2180	-24
3089076	PA2730	1.43710691823899	1001	417	416	-537	-538	-553	584	953	15
3089080	PA2730	1.44129979035639	1005	421	420	-533	-534	-549	584	953	15
3100289	pheT	1.07313997477932	175	174	173	-2205	-2206	-2223	1	2378	17
3100290	pheT	1.07356031946196	176	175	174	-2204	-2205	-2222	1	2378	17
3103956	rplT	1.87955182072829	362	314	313	-43	-44	-55	48	356	11
3107374	PA2745	1.43171296296296	376	373	372	-491	-492	-587	3	863	95
3115309	PA2754	1.01818181818182	61	6	5	-324	-325	-835	55	329	510
3160418	PA2805	1.37121212121212	134	98	97	-166	-167	-200	36	263	33
3172601	arr	1.6362484157161	1037	1004	1003	-574	-575	-609	33	1577	34
3252674	PA2897	1.71111111111111	1188	1024	1023	-416	-417	-527	164	1439	110
3285258	PA2929	1.40975609756098	456	252	251	-363	-364	-396	204	614	32
3337236	ptpA	1.01935483870968	6	9	8	-456	-457	-456	-3	464	-1
3337237	ptpA	1.02150537634409	7	10	9	-455	-456	-455	-3	464	-1
3395029	PA3031	1.96396396396396	279	214	213	-8	-9	-85	65	221	76
3395030	PA3031	1.96846846846847	280	215	214	-7	-8	-84	65	221	76
3395031	PA3031	1.97297297297297	281	216	215	-6	-7	-83	65	221	76
3395033	PA3031	1.98198198198198	283	218	217	-4	-5	-81	65	221	76
3411822	PA3048	1.02754820936639	94	60	59	-2118	-2119	-2349	34	2177	230
3534038	wbpG	1.08024691358025	98	91	90	-1043	-1044	-1111	7	1133	67
3543850	wbpA	1.06636155606407	123	87	86	-1224	-1225	-1628	36	1310	403
3544509	wbpA	1.56903127383677	782	746	745	-565	-566	-969	36	1310	403
3548193	rpsA	1.05	152	84	83	-1596	-1597	-1730	68	1679	133
3554165	pheA	1.00819672131148	43	9	8	-1089	-1090	-1089	34	1097	-1
3570595	PA3180	1.41552511415525	255	182	181	-256	-257	-301	73	437	44
3641373	PA3255	1.24352331606218	176	141	140	-438	-439	-469	35	578	30
3725068	PA3322	1.87696709585122	616	613	612	-86	-87	-299	3	698	212
3773307	lecB	1.80172413793103	512	279	278	-69	-70	-96	233	347	26
3831721	PA3422	1.46871444823663	852	824	823	-934	-935	-1077	28	1757	142
3831722	PA3422	1.46928327645051	853	825	824	-933	-934	-1076	28	1757	142
3831725	PA3422	1.47098976109215	856	828	827	-930	-931	-1073	28	1757	142
3867659	PA3459	1.99604519774011	1834	1763	1762	-7	-8	-28	71	1769	20
4058218	rpoS	1.30845771144279	435	310	309	-695	-696	-748	125	1004	52
4082850	lpxA	1.85714285714286	667	666	665	-111	-112	-109	1	776	-3
4082854	lpxA	1.86229086229086	671	670	669	-107	-108	-105	1	776	-3
4150717	wspA	1.0012277470841	4	2	1	-1627	-1628	-1761	2	1628	133
4150718	wspA	1.00184162062615	5	3	2	-1626	-1627	-1760	2	1628	133
4150720	wspA	1.00306936771025	7	5	4	-1624	-1625	-1758	2	1628	133
4279608	tgt	1.19660411081323	241	220	219	-899	-900	-906	21	1118	6
4313635	PA3852	1.99252136752137	930	929	928	-7	-8	-68	1	935	60
4372189	prfC	1.1395202020202	331	221	220	-1363	-1364	-1556	110	1583	192
4439774	PA3960	1.97549019607843	409	398	397	-10	-11	-16	11	407	5
4439775	PA3960	1.97794117647059	410	399	398	-9	-10	-15	11	407	5
4439778	PA3960	1.98529411764706	413	402	401	-6	-7	-12	11	407	5
4545145	oprG	1.77110157367668	612	539	538	-160	-161	-381	73	698	220
4641346	acoR	1.98242811501597	1950	1845	1844	-33	-34	-199	105	1877	165
4641350	acoR	1.98455804046858	1954	1849	1848	-29	-30	-195	105	1877	165
4641351	acoR	1.98509052183174	1955	1850	1849	-28	-29	-194	105	1877	165
4758403	secY	1.96313017306245	1294	1280	1279	-49	-50	-49	14	1328	-1
4763130	rplP	1.02898550724638	11	12	11	-402	-403	-408	-1	413	5
4763135	rplP	1.04106280193237	16	17	16	-397	-398	-403	-1	413	5
4781205	rplL	1.99457994579946	369	367	366	-2	-3	-42	2	368	39
4803218	recB	1.47030497592295	1755	1758	1757	-1980	-1981	-1978	-3	3737	-3
4803219	recB	1.47057249866239	1756	1759	1758	-1979	-1980	-1977	-3	3737	-3
4824132	tadC	1.01315789473684	9	12	11	-900	-901	-905	-3	911	4
4824134	tadC	1.01535087719298	11	14	13	-898	-899	-903	-3	911	4
4829675	rcpC	1.03618421052632	39	33	32	-879	-880	-1084	6	911	204
4844116	mvaT	1.81333333333333	434	305	304	-70	-71	-113	129	374	42
4844118	mvaT	1.81866666666667	436	307	306	-68	-69	-111	129	374	42
4844120	mvaT	1.824	438	309	308	-66	-67	-109	129	374	42
4893875	sodB	1.30756013745704	352	179	178	-403	-404	-494	173	581	90
4893876	sodB	1.30927835051546	353	180	179	-402	-403	-493	173	581	90
4893877	sodB	1.31099656357388	354	181	180	-401	-402	-492	173	581	90
4940483	ftsZ	1.99915611814346	1195	1184	1183	-1	-2	-27	11	1184	25
5008799	cafA	1.1076817558299	164	157	156	-1301	-1302	-1318	7	1457	16
5069443	pilA	1.80444444444444	399	362	361	-88	-89	-204	37	449	115
5077054	PA4535	1.98412698412698	686	620	619	-10	-11	-8	66	629	-3
5090756	PA4543	1.86282578875171	706	629	628	-100	-101	-98	77	728	-3
5195594	lysP	1.15368852459016	272	225	224	-1239	-1240	-1416	47	1463	176
5212113	PA4645	1.01254480286738	7	7	6	-551	-552	-636	0	557	84
5212114	PA4645	1.01433691756272	8	8	7	-550	-551	-635	0	557	84
5212115	PA4645	1.01612903225806	9	9	8	-549	-550	-634	0	557	84
5238678	prs	1.28768577494692	299	271	270	-671	-672	-730	28	941	58
5242763	higB	1.69175627240143	198	193	192	-86	-87	-251	5	278	164
5242764	higB	1.69534050179211	199	194	193	-85	-86	-250	5	278	164
5294185	PA4715	1.34061488673139	450	421	420	-815	-816	-900	29	1235	84
5294187	PA4715	1.34223300970874	452	423	422	-813	-814	-898	29	1235	84
5384704	PA4799	1.01208981001727	18	7	6	-572	-573	-570	11	578	-3
5384705	PA4799	1.01381692573402	19	8	7	-571	-572	-569	11	578	-3
5384708	PA4799	1.01899827288428	22	11	10	-568	-569	-566	11	578	-3
5482696	PA4887	1.18602885345482	239	245	244	-1072	-1073	-1182	-6	1316	109
5536207	PA4933	1.0632183908046	65	55	54	-815	-816	-834	10	869	18
5536214	PA4933	1.07126436781609	72	62	61	-808	-809	-827	10	869	18
5536215	PA4933	1.07241379310345	73	63	62	-807	-808	-826	10	869	18
5818602	dctQ	1.63349131121643	408	401	400	-232	-233	-230	7	632	-3
5818607	dctQ	1.64139020537125	413	406	405	-227	-228	-225	7	632	-3
5852920	amgR	1.36021505376344	315	268	267	-476	-477	-571	47	743	94
5877598	PA5219	1.78308207705193	983	935	934	-259	-260	-279	48	1193	19
5877600	PA5219	1.78475711892797	985	937	936	-257	-258	-277	48	1193	19
5877601	PA5219	1.785594639866	986	938	937	-256	-257	-276	48	1193	19
5877602	PA5219	1.78643216080402	987	939	938	-255	-256	-275	48	1193	19
5877603	PA5219	1.78726968174204	988	940	939	-254	-255	-274	48	1193	19
5905986	PA5244	1.19627749576988	237	116	115	-475	-476	-558	121	590	82
5942701	lysA	1.97355769230769	1220	1215	1214	-33	-34	-39	5	1247	5
5942703	lysA	1.97516025641026	1222	1217	1216	-31	-32	-37	5	1247	5
5942704	lysA	1.97596153846154	1223	1218	1217	-30	-31	-36	5	1247	5
5942705	lysA	1.97676282051282	1224	1219	1218	-29	-30	-35	5	1247	5
5942843	dapF	1.11913357400722	104	99	98	-732	-733	-748	5	830	15
5944215	PA5279	1.86894586894587	625	610	609	-92	-93	-102	15	701	9
5944221	PA5279	1.87749287749288	631	616	615	-86	-87	-96	15	701	9
6108410	PA5428	1.25852585258526	253	235	234	-674	-675	-762	18	908	87
6108414	PA5428	1.26292629262926	257	239	238	-670	-671	-758	18	908	87
6236138	PA5543	1.7719298245614	351	308	307	-91	-92	-89	43	398	-3
26313	hemF	1.62962962962963	673	578	577	-340	-341	-369	95	917	28
26314	hemF	1.63071895424837	674	579	578	-339	-340	-368	95	917	28
184400	PA0161	1.74509803921569	253	114	113	-39	-40	-117	139	152	77
239767	PA0209	1.98866213151927	871	872	871	-10	-11	-11	-1	881	0
295681	vgrG2b	1.61437908496732	1881	1880	1879	-1180	-1181	-1271	1	3059	90
410100	PA0366	1.41719077568134	624	597	596	-834	-835	-979	27	1430	144
410106	PA0366	1.42138364779874	630	603	602	-828	-829	-973	27	1430	144
531329	fiuA	1.54005811540058	1387	1301	1300	-1108	-1109	-1160	86	2408	51
698689	PA0641	1.99806362378976	3637	3608	3607	-7	-8	-125	29	3614	117
759438	pdtA	1.75595949932233	9573	9482	9481	-3061	-3062	-3257	91	12542	195
847229	asrA	1.59875	1492	1437	1436	-963	-964	-1059	55	2399	95
985543	aruE	1.995995995996	1001	995	994	-4	-5	-77	6	998	72
1029256	wzz2	1.81640331075997	1178	1085	1084	-244	-245	-407	93	1328	162
1056043	tolA	1.99137931034483	1036	1035	1034	-9	-10	-7	1	1043	-3
1073548	cupC1	1.42718446601942	486	264	263	-354	-355	-383	222	617	28
1073550	cupC1	1.43042071197411	488	266	265	-352	-353	-381	222	617	28
1175311	flgL	1.81212121212121	1084	1072	1071	-248	-249	-276	12	1319	27
1175312	flgL	1.81287878787879	1085	1073	1072	-247	-248	-275	12	1319	27
1506440	PA1386	1.54531126871552	701	692	691	-577	-578	-651	9	1268	73
1506441	PA1386	1.54609929078014	702	693	692	-576	-577	-650	9	1268	73
1506442	PA1386	1.54688731284476	703	694	693	-575	-576	-649	9	1268	73
1506445	PA1386	1.54925137903861	706	697	696	-572	-573	-646	9	1268	73
1888693	PA1746	1.56607495069034	397	287	286	-220	-221	-256	110	506	35
1897059	thrH	1.6957928802589	497	430	429	-188	-189	-210	67	617	21
1921246	oprF	1.0693257359924	127	73	72	-980	-981	-1015	54	1052	34
1934552	nasS	1.74772539288668	912	904	903	-305	-306	-394	8	1208	88
1934557	nasS	1.75186104218362	917	909	908	-300	-301	-389	8	1208	88
2047276	PA1876	1.99585635359116	2157	2163	2162	-9	-10	-4	-6	2171	-6
2047279	PA1876	1.99723756906077	2160	2166	2165	-6	-7	-1	-6	2171	-6
2081873	femA	1.00869565217391	41	21	20	-2394	-2395	-2499	20	2414	104
2089423	PA1915	1.53100775193798	1105	822	821	-726	-727	-758	283	1547	31
2089424	PA1915	1.53165374677003	1106	823	822	-725	-726	-757	283	1547	31
2089425	PA1915	1.53229974160207	1107	824	823	-724	-725	-756	283	1547	31
2089429	PA1915	1.53488372093023	1111	828	827	-720	-721	-752	283	1547	31
2118843	PA1937	1.83818770226537	502	259	258	-50	-51	-67	243	308	16
2189735	PA2002	1.89614035087719	1383	1277	1276	-148	-149	-249	106	1424	100
2328182	PA2116	1.98872180451128	842	789	788	-9	-10	-1	53	797	-9
2386556	PA2163	1.97761557177616	2004	2009	2008	-46	-47	-42	-5	2054	-5
2445697	PA2223	1.15	158	153	152	-867	-868	-884	5	1019	16
2965983	icd	1.34844868735084	474	438	437	-819	-820	-999	36	1256	179
2965984	icd	1.34924423229912	475	439	438	-818	-819	-998	36	1256	179
3018977	PA2671	1.12037037037037	151	130	129	-950	-951	-945	21	1079	-6
3035882	vgrG4	1.06006419073819	155	131	130	-2050	-2051	-2027	24	2180	-24
3115306	PA2754	1.00909090909091	58	3	2	-327	-328	-838	55	329	510
3207095	oprI	1.71825396825397	199	181	180	-71	-72	-133	18	251	61
3366748	nagZ	1.99399399399399	998	993	992	-6	-7	-114	5	998	107
3366749	nagZ	1.99499499499499	999	994	993	-5	-6	-113	5	998	107
3390133	PA3026	1.43734335839599	700	698	697	-898	-899	-987	2	1595	88
3395028	PA3031	1.95945945945946	278	213	212	-9	-10	-86	65	221	76
3411813	PA3048	1.02341597796143	85	51	50	-2127	-2128	-2358	34	2177	230
3470768	fadH1	1.00245098039216	173	5	4	-2035	-2036	-2143	168	2039	107
3533254	wbpH	1.39483065953654	440	443	442	-679	-680	-687	-3	1121	7
3533454	wbpH	1.57308377896613	640	643	642	-479	-480	-487	-3	1121	7
3572116	pgl	1.69177126917713	504	496	495	-221	-222	-214	8	716	-8
3572117	pgl	1.6931659693166	505	497	496	-220	-221	-213	8	716	-8
3647850	PA3260	1.30769230769231	100	96	95	-216	-217	-268	4	311	51
3752477	PA3341	1.99770114942529	572	434	433	-1	-2	-60	138	434	58
3889733	rhlI	1.98184818481848	672	595	594	-11	-12	-102	77	605	90
3889734	rhlI	1.98349834983498	673	596	595	-10	-11	-101	77	605	90
4544836	oprG	1.32904148783977	303	230	229	-469	-470	-690	73	698	220
4755597	rpsD	1.24315619967794	162	151	150	-470	-471	-479	11	620	8
4756755	rpsM	1.73949579831933	273	264	263	-93	-94	-159	9	356	65
4760379	rplF	1.83333333333333	450	445	444	-89	-90	-95	5	533	5
4803220	recB	1.47084002140182	1757	1760	1759	-1978	-1979	-1976	-3	3737	-3
4939724	ftsZ	1.35864978902954	436	425	424	-760	-761	-786	11	1184	25
5092032	comL	1.07017543859649	144	72	71	-954	-955	-1150	72	1025	195
5273526	ilvH	1.02642276422764	34	13	12	-479	-480	-481	21	491	1
5382446	PA4796	1.97435897435897	453	456	455	-12	-13	-181	-3	467	168
5793607	PA5145	1.99638663053297	1237	1103	1102	-4	-5	-51	134	1106	46
5907206	PA5245	1.86846038863976	663	581	580	-88	-89	-136	82	668	47
5980779	PA5310	1.99748427672956	1628	1586	1585	-4	-5	-6	42	1589	1
6011275	PA5343	1.25586854460094	217	218	217	-634	-635	-703	-1	851	68
6011276	PA5343	1.25704225352113	218	219	218	-633	-634	-702	-1	851	68
6176465	kinB	1.9910514541387	1769	1772	1771	-16	-17	-34	-3	1787	17
55881	PA0042	0.561136814276272	848	-664	-665	-1060	-1061	-1196	1512	395	135
99919	fha1	2.88586956521739	1679	1657	1656	163	162	-21	22	1493	183
320735	desA	0.651162790697674	55	-30	-31	-1209	-1210	-1325	85	1178	115
320740	desA	0.709302325581395	60	-25	-26	-1204	-1205	-1320	85	1178	115
320742	desA	0.732558139534884	62	-23	-24	-1202	-1203	-1318	85	1178	115
330993	aguR	0.51219512195122	41	-40	-41	-706	-707	-738	81	665	31
330997	aguR	0.560975609756098	45	-36	-37	-702	-703	-734	81	665	31
330999	aguR	0.585365853658537	47	-34	-35	-700	-701	-732	81	665	31
356678	PA0317	0.980392156862745	99	-2	-3	-1397	-1398	-1443	101	1394	45
425500	PA0383	0.963414634146341	78	-3	-4	-1350	-1351	-1357	81	1346	6
706873	PA0653	0.485294117647059	65	-70	-71	-493	-494	-653	135	422	159
706874	PA0653	0.492647058823529	66	-69	-70	-492	-493	-652	135	422	159
706876	PA0653	0.507352941176471	68	-67	-68	-490	-491	-650	135	422	159
735483	vreR	0.914285714285714	31	-3	-4	-963	-964	-968	34	959	4
1094140	PA1011	0.333333333333333	2	-6	-7	-1197	-1198	-1166	8	1190	-32
1236311	PA1144	2.65182186234818	1529	1496	1495	161	160	-86	33	1334	246
1254435	nrdA	2.3433242506812	3149	3018	3017	126	125	-241	131	2891	366
1254436	nrdA	2.34604904632153	3150	3019	3018	127	126	-240	131	2891	366
1257760	PA1159	0.93125	148	-11	-12	-221	-222	-274	159	209	52
1455814	aatJ	1	101	0	-1	-909	-910	-1135	101	908	225
1498233	PA1381	0.425414364640884	76	-104	-105	-596	-597	-588	180	491	-9
1646493	PA1513	2.2	1525	1283	1282	5	4	-20	242	1277	24
1650324	PA1518	2.13223140495868	583	397	396	16	15	-105	186	380	120
1650325	PA1518	2.1404958677686	584	398	397	17	16	-104	186	380	120
1734802	PA1592	0.2	5	-24	-25	-261	-262	-348	29	236	86
1803524	hsiA2	0.82793867120954	485	-101	-102	-1658	-1659	-1676	586	1556	17
1803525	hsiA2	0.829642248722317	486	-100	-101	-1657	-1658	-1675	586	1556	17
1803529	hsiA2	0.836456558773424	490	-96	-97	-1653	-1654	-1671	586	1556	17
1803532	hsiA2	0.841567291311755	493	-93	-94	-1650	-1651	-1668	586	1556	17
1878454	PA1735	2.15734265734266	989	933	932	45	44	-241	56	887	285
1878457	PA1735	2.16783216783217	992	936	935	48	47	-238	56	887	285
1878459	PA1735	2.17482517482518	994	938	937	50	49	-236	56	887	285
1883639	PA1739	0.723684210526316	54	-21	-22	-993	-994	-1005	75	971	11
1947161	folD	2.85714285714286	1003	975	974	120	119	-20	28	854	139
2054270	PA1885	0.116279069767442	4	-38	-39	-572	-573	-607	42	533	34
2361638	PA2146	0.732	182	-67	-68	-235	-236	-276	249	167	40
2562413	PA2323	0.802395209580838	133	-33	-34	-1659	-1660	-1768	166	1625	108
2562414	PA2323	0.808383233532934	134	-32	-33	-1658	-1659	-1767	166	1625	108
2701123	PA2417	2.35294117647059	958	957	956	18	17	-33	1	938	50
2934514	PA2592	0.662337662337662	50	-26	-27	-1130	-1131	-1234	76	1103	103
2956793	ftsK	0.153846153846154	1	-11	-12	-2447	-2448	-2561	12	2435	113
2959301	ftsK	2.53508771929825	2509	2497	2496	61	60	-53	12	2435	113
2977378	PA2633	2.72818791946309	1036	1039	1038	217	216	-81	-3	821	297
2977379	PA2633	2.73154362416107	1037	1040	1039	218	217	-80	-3	821	297
2977380	PA2633	2.73489932885906	1038	1041	1040	219	218	-79	-3	821	297
2977382	PA2633	2.74161073825503	1040	1043	1042	221	220	-77	-3	821	297
3104016	rpmI	0.5	5	-6	-7	-201	-202	-232	11	194	30
3115736	PA2754	2.20156555772994	488	433	432	103	102	-408	55	329	510
3119338	PA2759	0.481132075471698	50	-55	-56	-370	-371	-553	105	314	182
3200262	PA2844	2.5952380952381	1254	1234	1233	25	24	-17	20	1208	41
3200264	PA2844	2.64285714285714	1256	1236	1235	27	26	-15	20	1208	41
3360738	PA3001	2.75675675675676	1520	1470	1469	84	83	-27	50	1385	110
3394794	PA3031	0.681818181818182	44	-21	-22	-243	-244	-320	65	221	76
3517906	PA3136	0.4	13	-21	-22	-1089	-1090	-1114	34	1067	24
3528369	PA3144	2.48717948717949	148	139	138	19	18	-20	9	119	38
3528370	PA3144	2.51282051282051	149	140	139	20	19	-19	9	119	38
3608977	PA3219	2.64864864864865	874	861	860	48	47	-26	13	812	73
3608978	PA3219	2.66216216216216	875	862	861	49	48	-25	13	812	73
3608983	PA3219	2.72972972972973	880	867	866	54	53	-20	13	812	73
3624642	betX	2.6734693877551	1065	957	956	99	98	-48	108	857	146
3624643	betX	2.68027210884354	1066	958	957	100	99	-47	108	857	146
3624645	betX	2.69387755102041	1068	960	959	102	101	-45	108	857	146
3697424	fadD2	0.923728813559322	108	-9	-10	-1698	-1699	-1822	117	1688	123
3791050	phnC	2.35359116022099	927	901	900	64	63	-117	26	836	180
3791051	phnC	2.35911602209945	928	902	901	65	64	-116	26	836	180
3791052	phnC	2.3646408839779	929	903	902	66	65	-115	26	836	180
3791053	phnC	2.37016574585635	930	904	903	67	66	-114	26	836	180
3791054	phnC	2.37569060773481	931	905	904	68	67	-113	26	836	180
3791058	phnC	2.39779005524862	935	909	908	72	71	-109	26	836	180
3946990	motY	2.41791044776119	1052	994	993	28	27	-39	58	965	66
3949788	bfd	0.507692307692308	65	-64	-65	-286	-287	-391	129	221	104
4048501	PA3614	0.811111111111111	72	-17	-18	-1421	-1422	-1463	89	1403	41
4120442	mexL	0.458333333333333	21	-26	-27	-665	-666	-669	47	638	3
4150715	wspA	1	2	0	-1	-1629	-1630	-1763	2	1628	133
4154254	PA3709	2.43636363636364	1777	1644	1643	24	23	-31	133	1619	54
4432537	PA3951	2.24242424242424	550	512	511	8	7	-25	38	503	32
4544587	oprG	0.743243243243243	54	-19	-20	-718	-719	-939	73	698	220
4625014	PA4135	2.25581395348837	441	434	433	11	10	-32	7	422	42
4764232	rpsC	2.28571428571429	694	689	688	2	1	-5	5	686	6
4764233	rpsC	2.42857142857143	695	690	689	3	2	-4	5	686	6
4764239	rplV	0.571428571428571	3	-3	-4	-336	-337	-343	6	332	6
4767316	rpsJ	0.380952380952381	15	-26	-27	-338	-339	-417	41	311	78
4767320	rpsJ	0.476190476190476	19	-22	-23	-334	-335	-413	41	311	78
4793867	PA4280.5	2.40356083086053	1704	1672	1671	136	135	-201	32	1535	336
4940491	ftsZ	2.26923076923077	1203	1192	1191	7	6	-19	11	1184	25
4940500	ftsZ	2.61538461538462	1212	1201	1200	16	15	-10	11	1184	25
4956684	PA4422	0.505050505050505	49	-49	-50	-898	-899	-962	98	848	63
4992748	lptB	2.92035398230089	829	830	829	104	103	-9	-1	725	112
5080454	PA4539	2.89454545454545	1357	1338	1337	246	245	-29	19	1091	274
